,idUF,Mun,Est,Trab,Atv,Rend,idUFNum,Estado
0,43,00034,5,1,612,500.0,43,Rio Grande do Sul
1,43,00034,4,1,612,500.0,43,Rio Grande do Sul
2,43,00034,,,,,43,Rio Grande do Sul
3,43,00034,1,2,,,43,Rio Grande do Sul
4,43,00034,1,1,921,600.0,43,Rio Grande do Sul
5,43,00034,5,2,,,43,Rio Grande do Sul
6,43,00034,5,2,,,43,Rio Grande do Sul
7,43,00034,5,2,,,43,Rio Grande do Sul
8,43,00034,,,,,43,Rio Grande do Sul
9,43,00034,5,1,911,200.0,43,Rio Grande do Sul
10,43,00034,,,,,43,Rio Grande do Sul
11,43,00034,5,2,,,43,Rio Grande do Sul
12,43,00034,5,2,,,43,Rio Grande do Sul
13,43,00034,5,1,000,520.0,43,Rio Grande do Sul
14,43,00034,,,,,43,Rio Grande do Sul
15,43,00034,,,,,43,Rio Grande do Sul
16,43,00034,,,,,43,Rio Grande do Sul
17,43,00034,5,2,,,43,Rio Grande do Sul
18,43,00034,5,2,,,43,Rio Grande do Sul
19,43,00034,,,,,43,Rio Grande do Sul
20,43,00034,5,2,,,43,Rio Grande do Sul
21,43,00034,,,,,43,Rio Grande do Sul
22,43,00034,,,,,43,Rio Grande do Sul
23,43,00034,5,2,,,43,Rio Grande do Sul
24,43,00034,5,1,921,510.0,43,Rio Grande do Sul
25,43,00034,4,1,731,750.0,43,Rio Grande do Sul
26,43,00034,,,,,43,Rio Grande do Sul
27,43,00034,5,2,,,43,Rio Grande do Sul
28,43,00034,1,2,,,43,Rio Grande do Sul
29,43,00034,1,2,,,43,Rio Grande do Sul
30,43,00034,1,2,,,43,Rio Grande do Sul
31,43,00034,1,1,111,2000.0,43,Rio Grande do Sul
32,43,00034,5,2,,,43,Rio Grande do Sul
33,43,00034,5,2,,,43,Rio Grande do Sul
34,43,00034,,,,,43,Rio Grande do Sul
35,43,00034,5,2,,,43,Rio Grande do Sul
36,43,00034,5,2,,,43,Rio Grande do Sul
37,43,00034,1,2,,,43,Rio Grande do Sul
38,43,00034,1,2,,,43,Rio Grande do Sul
39,43,00034,,,,,43,Rio Grande do Sul
40,43,00034,,,,,43,Rio Grande do Sul
41,43,00034,5,1,613,300.0,43,Rio Grande do Sul
42,43,00034,5,1,613,300.0,43,Rio Grande do Sul
